company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Safavieh,safavieh.com,TIER_A_IMMEDIATE,75.7,EDP7_Sales_Enablement,20250902_033534
Titanium Technologie,titaniumtechnologie.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250902_033534
OneCoast,onecoast.com,TIER_B_ACTIVE,50.25,EDP8_Technology_Obsolescence,20250902_033534
OneCoast,onecoast.com,TIER_B_ACTIVE,50.25,EDP8_Technology_Obsolescence,20250902_033534
Portico Collection Inc.,porticocollection.com/,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250902_033534
"ACCENT DECOR, Inc.",accentdecor.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_033534
Jatex International,jatexinternational.com/,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250902_033534
Kalalou,kalalou.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250902_033534
Ragon House,ragonhouse.com/,TIER_B_ACTIVE,41.0,EDP8_Technology_Obsolescence,20250902_033534
Danya B.,danyab.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250902_033534
Service Lamp Corporation,servicelamp.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_033534
Darrah & Co.,darrahreps.com/,TIER_B_ACTIVE,61.8,EDP7_Sales_Enablement,20250902_033534
KBD Sales,kbdsales.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250902_033534
KBD Sales,kbdsales.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250902_033534
Melrose International,melroseintl.com/,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250902_033534
Kalalou,kalalou.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250902_033534
Willow Group,willowgroupltd.com/Home.aspx,TIER_A_IMMEDIATE,73.3,EDP8_Technology_Obsolescence,20250902_033534
Portico Collection Inc.,porticocollection.com/,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250902_033534
NAPCO,napcoimports.com/,TIER_B_ACTIVE,44.75,EDP8_Technology_Obsolescence,20250902_033534
India House,indiahousebrass.com/,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250902_033534
OneCoast,onecoast.com,TIER_B_ACTIVE,50.25,EDP8_Technology_Obsolescence,20250902_033534
ANDMORE,andmore.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250902_033534
ANDMORE,andmore.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250902_033534
Safavieh,safavieh.com,TIER_A_IMMEDIATE,75.7,EDP7_Sales_Enablement,20250902_033534
Koopman International,koopmanint.com/en/,TIER_B_ACTIVE,68.25,EDP7_Sales_Enablement,20250902_033534
Tufan Rugs,tufanrugs.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_033534
Enchante Accessories,enchanteaccessories.com,TIER_B_ACTIVE,61.45,EDP7_Sales_Enablement,20250902_033534
Ameico Inc.,ameico.com/,TIER_B_ACTIVE,61.0,EDP7_Sales_Enablement,20250902_033534
Indus Design Imports,indusdesign.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_033534
Enchante Accessories,enchanteaccessories.com,TIER_B_ACTIVE,61.45,EDP7_Sales_Enablement,20250902_033534
Ameico Inc.,ameico.com/,TIER_B_ACTIVE,61.0,EDP7_Sales_Enablement,20250902_033534
Ragon House,ragonhouse.com/,TIER_B_ACTIVE,41.0,EDP8_Technology_Obsolescence,20250902_033534
Enchanté Accessories,enchanteaccessories.com,TIER_B_ACTIVE,61.45,EDP7_Sales_Enablement,20250902_033534
"Mud Pie, LLC.",mudpie.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250902_033534
