company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Skandiform,skandiform.com,TIER_B_ACTIVE,49.4,EDP8_Technology_Obsolescence,20250909_134216
Harbour Outdoor,shopharbour.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_134216
Arper,arper.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250909_134216
ALEXANDRA COLLECTION,coleccionalexandra.com,TIER_B_ACTIVE,55.7,EDP8_Technology_Obsolescence,20250909_134216
Kartell,kartell.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_134216
Northland Furniture Company,northlandfurniture.com,TIER_B_ACTIVE,61.45,EDP7_Sales_Enablement,20250909_134216
Kwalu,kwalu.com,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250909_134216
Arper,arper.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250909_134216
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_134216
BOSS DESIGN,bossdesign.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_134216
Skyline Design,skylinefurnituremfg.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_134216
Paragon Inc.,paragoninc.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_134216
Aceray,aceray.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_134216
Brown Jordan,brownjordan.com,TIER_B_ACTIVE,42.0,EDP8_Technology_Obsolescence,20250909_134216
RT London,rtlondon.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_134216
Colecraft,colecraftcf.com,TIER_B_ACTIVE,47.75,EDP8_Technology_Obsolescence,20250909_134216
Colecraft,colecraftcf.com,TIER_B_ACTIVE,47.75,EDP8_Technology_Obsolescence,20250909_134216
Walters | Wicker Works,walterswicker.com,TIER_B_ACTIVE,54.0,EDP8_Technology_Obsolescence,20250909_134216
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_134216
Hi5,hi5furniture.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250909_134216
Brown Jordan,brownjordan.com,TIER_B_ACTIVE,42.0,EDP8_Technology_Obsolescence,20250909_134216
Palmer Hamilton,palmerhamilton.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_134216
Gibraltar,gibraltarinc.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_134216
Created Hardwood NC,createdhardwood.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_134216
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_134216
Calligaris Toronto/S.p.A.,calligaris.com,TIER_B_ACTIVE,43.95,EDP8_Technology_Obsolescence,20250909_134216
Created Hardwood NC,createdhardwood.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_134216
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_134216
Hushoffice,hushoffice.com,TIER_B_ACTIVE,64.75,EDP7_Sales_Enablement,20250909_134216
Magis Design,magisdesign.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250909_134216
Correll,correllinc.com,TIER_B_ACTIVE,57.7,EDP8_Technology_Obsolescence,20250909_134216
Skandiform,skandiform.com,TIER_B_ACTIVE,49.4,EDP8_Technology_Obsolescence,20250909_134216
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_134216
PS Furniture,psfurniture.com,TIER_A_IMMEDIATE,71.25,EDP8_Technology_Obsolescence,20250909_134216
Hushoffice,hushoffice.com,TIER_B_ACTIVE,64.75,EDP7_Sales_Enablement,20250909_134216
Correll,correllinc.com,TIER_B_ACTIVE,57.7,EDP8_Technology_Obsolescence,20250909_134216
NUANS,nuansdesign.com,TIER_B_ACTIVE,43.95,EDP8_Technology_Obsolescence,20250909_134216
Neutral Posture,neutralposture.com,TIER_B_ACTIVE,62.95,EDP8_Technology_Obsolescence,20250909_134216
Moduform,moduform.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250909_134216
MODULAR ONE,gardner-white.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_134216
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_134216
Arper,arper.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250909_134216
DecoScape,decoscape.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_134216
Punt Mobles,puntmobles.com,TIER_B_ACTIVE,59.95,EDP7_Sales_Enablement,20250909_134216
RT London,rtlondon.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_134216
