company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Danao,danaoliving.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250909_132558
DEVON & DEVON,devon-devon.com,TIER_B_ACTIVE,53.2,EDP8_Technology_Obsolescence,20250909_132558
William Yeoward,williamyeoward.com,TIER_B_ACTIVE,42.0,EDP8_Technology_Obsolescence,20250909_132558
Bentley Home,luxurylivinggroup.com,TIER_B_ACTIVE,44.95,EDP8_Technology_Obsolescence,20250909_132558
Bentley Home,luxurylivinggroup.com,TIER_B_ACTIVE,44.95,EDP8_Technology_Obsolescence,20250909_132558
Luonto,luonto.com,TIER_B_ACTIVE,41.0,EDP8_Technology_Obsolescence,20250909_132558
Innovant,innovant.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_132558
Karl Andersson & SÃÂ¶ner,karl-andersson.se,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_132558
Pelican Reef,pelicanreef.com,TIER_B_ACTIVE,42.75,EDP8_Technology_Obsolescence,20250909_132558
Worden,wordencompany.com,TIER_B_ACTIVE,64.65,EDP7_Sales_Enablement,20250909_132558
Ditre Italia,ditreitalia.com,TIER_B_ACTIVE,68.25,EDP7_Sales_Enablement,20250909_132558
CF Group (Falcon & Thonet),commercialfurnituregroup.com,TIER_B_ACTIVE,64.45,EDP7_Sales_Enablement,20250909_132558
American Bedding,americanbeddingmfg.com,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250909_132558
Wood Goods,urbanwoodgoods.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_132558
John Rosselli & Assoc (Shaen),johnrosselli.com,TIER_B_ACTIVE,64.65,EDP7_Sales_Enablement,20250909_132558
DEVON & DEVON,devon-devon.com,TIER_B_ACTIVE,53.2,EDP8_Technology_Obsolescence,20250909_132558
Norwalk,norwalkfurniture.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_132558
String Furniture,stringfurniture.com,TIER_B_ACTIVE,62.65,EDP7_Sales_Enablement,20250909_132558
Koleksiyon,koleksiyon.us,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_132558
Geiger,geigerfurniture.com,TIER_B_ACTIVE,54.5,EDP8_Technology_Obsolescence,20250909_132558
Fluidconcepts,fluidconcepts.ca,TIER_B_ACTIVE,41.0,EDP8_Technology_Obsolescence,20250909_132558
Girsberger,girsberger.com,TIER_B_ACTIVE,66.25,EDP7_Sales_Enablement,20250909_132558
Philips,phillipscollection.com,TIER_B_ACTIVE,62.8,EDP7_Sales_Enablement,20250909_132558
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_132558
Geiger,geigerfurniture.com,TIER_B_ACTIVE,54.5,EDP8_Technology_Obsolescence,20250909_132558
Eaton Custom Seating,eatonseating.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_132558
Brown Jordan,brownjordan.com,TIER_B_ACTIVE,42.0,EDP8_Technology_Obsolescence,20250909_132558
Kartell,kartell.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_132558
Hushoffice,hushoffice.com,TIER_B_ACTIVE,64.75,EDP7_Sales_Enablement,20250909_132558
DecoScape,decoscape.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_132558
Harbour Outdoor,shopharbour.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_132558
MODULAR ONE,gardner-white.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_132558
Porter Designs,porterdesignsusa.com,TIER_B_ACTIVE,40.75,EDP8_Technology_Obsolescence,20250909_132558
Harbour Outdoor,shopharbour.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_132558
Bloomingville MINI,bloomingville.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_120500
Thibaut Contract,thibautdesign.com,TIER_B_ACTIVE,45.85,EDP8_Technology_Obsolescence,20250909_120500
Thibaut Contract,thibautdesign.com,TIER_B_ACTIVE,45.85,EDP8_Technology_Obsolescence,20250909_120500
Muuto,muuto.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_120500
Thibaut Contract,thibautdesign.com,TIER_B_ACTIVE,45.85,EDP8_Technology_Obsolescence,20250909_120500
Link Outdoor,linkoutdoor.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250909_120500
Thibaut Contract,thibautdesign.com,TIER_B_ACTIVE,45.85,EDP8_Technology_Obsolescence,20250909_120500
Thibaut Contract,thibautdesign.com,TIER_B_ACTIVE,45.85,EDP8_Technology_Obsolescence,20250909_120500
Mullan Lighting,mullanlighting.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_120500
Muuto,muuto.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_120500
Mullan Lighting,mullanlighting.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_120500
Extremis,extremis.com,TIER_B_ACTIVE,66.25,EDP7_Sales_Enablement,20250909_120500
Extremis,extremis.com,TIER_B_ACTIVE,66.25,EDP7_Sales_Enablement,20250909_120500
Hugues Chevalier,hugueschevalier.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250909_120500
Hugues Chevalier,hugueschevalier.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250909_120500
Hugues Chevalier,hugueschevalier.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250909_120500
Normann Copenhagen,normann-copenhagen.com,TIER_A_IMMEDIATE,73.3,EDP8_Technology_Obsolescence,20250909_120500
Panzeri,panzeri.it,TIER_B_ACTIVE,68.25,EDP7_Sales_Enablement,20250909_120500
Panzeri,panzeri.it,TIER_B_ACTIVE,68.25,EDP7_Sales_Enablement,20250909_120500
Designers Guild,designersguild.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_120500
PETITE FRITURE,us.petitefriture.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250909_120500
Normann Copenhagen,normann-copenhagen.com,TIER_A_IMMEDIATE,73.3,EDP8_Technology_Obsolescence,20250909_120500
